Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,6.0,3.9,57.0,19.0,0.09,0.078,,,,29.0,10.8,443.0,54.0,
Atlanta,4.6,3.6,86.0,19.0,0.14,0.1,61.0,18.0,3.0,34.0,17.3,52.0,27.0,
Austin,1.6,0.9,37.0,4.0,0.1,0.091,,,,29.0,11.7,43.0,21.0,
Baltimore,9.2,3.0,70.0,25.0,0.15,0.115,75.0,21.0,6.0,47.0,16.0,81.0,29.0,
Boston,3.7,2.4,69.0,25.0,0.15,0.107,89.0,21.0,6.0,48.0,13.4,,,
Charlotte,5.7,3.2,57.0,15.0,0.13,0.108,50.0,11.0,3.0,33.0,14.7,49.0,27.0,
Chicago,4.9,3.7,92.0,32.0,0.14,0.116,114.0,33.0,6.0,41.0,17.7,114.0,36.0,
Cleveland,8.0,2.4,73.0,22.0,0.13,0.115,146.0,41.0,9.0,45.0,17.7,113.0,36.0,
Colorado Springs,9.8,5.2,,,0.08,0.072,,,,20.0,7.8,110.0,28.0,
Columbus,3.6,2.5,,,0.12,0.103,37.0,17.0,4.0,40.0,16.2,46.0,22.0,
Dallas,4.0,2.1,61.0,19.0,0.14,0.109,82.0,16.0,1.0,38.0,13.6,62.0,29.0,
Denver,7.5,3.7,87.0,35.0,0.11,0.088,78.0,23.0,4.0,26.0,10.2,126.0,39.0,
Detroit,4.6,3.7,69.0,21.0,0.12,0.1,139.0,38.0,6.0,46.0,19.8,111.0,38.0,
El Paso,13.1,6.8,81.0,21.0,0.13,0.089,20.0,6.0,1.0,57.0,17.1,533.0,57.0,
Fresno,6.0,4.3,73.0,20.0,0.16,0.119,,,,77.0,22.9,93.0,43.0,
Houston,4.4,3.3,57.0,19.0,0.17,0.101,79.0,25.0,3.0,32.0,14.5,95.0,34.0,
Indianapolis,14.2,5.0,,18.0,0.13,0.106,111.0,25.0,5.0,45.0,18.3,54.0,22.0,
Jacksonville,3.9,2.6,51.0,15.0,0.09,0.069,178.0,54.0,6.0,22.0,9.3,119.0,26.0,
Kansas City,10.2,3.3,57.0,17.0,0.11,0.091,79.0,15.0,3.0,34.0,14.0,66.0,36.0,
Las Vegas,7.5,5.8,64.0,22.0,0.1,0.086,14.0,6.0,1.0,29.0,11.7,380.0,54.0,
Los Angeles,13.6,8.5,110.0,40.0,0.16,0.131,28.0,9.0,2.0,58.0,24.0,118.0,46.0,
Louisville,9.9,4.8,59.0,20.0,0.12,0.1,128.0,30.0,6.0,50.0,17.5,52.0,25.0,
Memphis,4.9,3.6,,22.0,0.13,0.1,130.0,30.0,5.0,36.0,13.8,56.0,23.0,
Miami,6.8,4.0,53.0,14.0,0.1,0.065,54.0,11.0,2.0,19.0,9.1,46.0,23.0,
Milwaukee,4.2,3.1,,,0.12,0.099,89.0,24.0,4.0,36.0,13.2,50.0,23.0,
Minneapolis,6.1,3.9,69.0,19.0,0.1,0.071,47.0,18.0,2.0,33.0,11.7,60.0,34.0,
Nashville,6.2,5.1,111.0,16.0,0.11,0.094,64.0,18.0,4.0,30.0,13.7,52.0,24.0,
New York City,6.4,4.4,97.0,40.0,0.15,0.125,67.0,39.0,12.0,48.0,16.7,60.0,25.0,
Oklahoma City,5.0,3.0,59.0,14.0,0.11,0.081,10.0,6.0,2.0,30.0,10.4,50.0,23.0,
Omaha,5.4,3.9,,,0.09,0.078,22.0,9.0,1.0,28.0,11.1,109.0,43.0,
Philadelphia,7.6,2.9,70.0,29.0,0.15,0.112,163.0,54.0,8.0,57.0,16.5,111.0,24.0,
Phoenix,7.9,5.5,91.0,35.0,0.12,0.09,17.0,10.0,3.0,22.0,10.4,174.0,79.0,
Portland,7.2,5.7,,,0.12,0.063,,,,47.0,10.5,66.0,20.0,
Sacramento,7.5,4.2,69.0,20.0,0.15,0.111,13.0,9.0,1.0,63.0,14.3,79.0,29.0,
San Antonio,4.5,2.6,57.0,17.0,0.13,0.104,,,,26.0,8.6,48.0,21.0,
San Diego,8.0,3.8,85.0,22.0,0.12,0.096,25.0,10.0,4.0,44.0,16.0,112.0,55.0,
San Francisco,7.6,4.9,61.0,19.0,0.14,0.088,41.0,12.0,3.0,62.0,13.8,69.0,24.0,
