Location,Year,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,2003,9.6,3.5,55.0,18.0,0.1,0.082,,,,26.0,10.8,212.0,41.0,
Atlanta,2003,3.5,2.6,70.0,16.0,0.12,0.091,60.0,22.0,3.0,44.0,17.7,91.0,27.0,
Austin,2003,2.2,0.9,34.0,4.0,0.1,0.084,,,,,,53.0,23.0,
Baltimore,2003,3.9,2.6,76.0,26.0,0.13,0.089,,,,62.0,16.8,62.0,26.0,
Boston,2003,4.0,2.7,80.0,22.0,0.12,0.089,50.0,22.0,6.0,35.0,9.9,,,
Charlotte,2003,4.6,3.0,56.0,16.0,0.13,0.098,69.0,13.0,3.0,33.0,14.6,48.0,25.0,
Chicago,2003,8.2,3.4,83.0,31.0,0.11,0.088,75.0,29.0,6.0,46.0,17.4,166.0,34.0,
Cleveland,2003,5.5,3.4,68.0,22.0,0.12,0.097,149.0,52.0,9.0,46.0,17.2,89.0,36.0,
Colorado Springs,2003,6.7,3.9,,,0.09,0.077,,,,19.0,8.0,61.0,22.0,
Columbus,2003,4.8,3.0,,,0.12,0.094,43.0,22.0,4.0,39.0,16.4,89.0,33.0,
Dallas,2003,3.5,2.0,63.0,18.0,0.13,0.097,66.0,28.0,1.0,37.0,14.2,64.0,32.0,
Denver,2003,14.9,4.5,,21.0,0.14,0.095,58.0,13.0,3.0,28.0,10.6,103.0,38.0,
Detroit,2003,4.5,3.0,78.0,22.0,0.13,0.102,188.0,54.0,6.0,46.0,19.1,203.0,45.0,
El Paso,2003,11.7,6.4,81.0,20.0,0.11,0.079,14.0,7.0,2.0,43.0,19.5,719.0,63.0,
Fresno,2003,4.4,3.6,77.0,20.0,0.14,0.111,,,,56.0,17.8,89.0,43.0,
Houston,2003,5.4,4.2,67.0,19.0,0.19,0.113,89.0,33.0,6.0,29.0,14.7,95.0,39.0,
Indianapolis,2003,3.8,2.7,,16.0,0.12,0.101,122.0,24.0,5.0,39.0,17.5,62.0,26.0,
Jacksonville,2003,3.8,2.4,,14.0,0.09,0.079,115.0,30.0,3.0,21.0,9.8,184.0,31.0,
Kansas City,2003,5.5,3.0,59.0,17.0,0.11,0.09,20.0,8.0,1.0,35.0,14.4,,,
Las Vegas,2003,6.9,5.3,71.0,21.0,0.11,0.089,11.0,6.0,1.0,32.0,10.7,220.0,47.0,
Los Angeles,2003,10.4,7.2,118.0,35.0,0.19,0.137,28.0,10.0,2.0,61.0,21.4,96.0,45.0,
Louisville,2003,5.6,3.3,51.0,18.0,0.12,0.09,173.0,35.0,6.0,43.0,16.0,64.0,22.0,
Memphis,2003,4.9,3.3,63.0,20.0,0.12,0.089,112.0,38.0,6.0,32.0,13.7,51.0,28.0,
Miami,2003,5.8,3.7,52.0,14.0,0.09,0.069,48.0,10.0,1.0,18.0,9.4,52.0,30.0,
Milwaukee,2003,5.0,2.6,,,0.12,0.099,74.0,20.0,3.0,34.0,12.7,59.0,27.0,
Minneapolis,2003,6.1,4.3,52.0,12.0,0.09,0.076,100.0,58.0,3.0,29.0,12.0,75.0,37.0,
Nashville,2003,4.9,3.7,,8.0,0.1,0.086,24.0,11.0,4.0,33.0,14.3,56.0,27.0,
New York City,2003,11.2,3.3,84.0,32.0,0.14,0.102,74.0,51.0,11.0,47.0,17.0,75.0,36.0,
Oklahoma City,2003,4.6,2.8,55.0,11.0,0.1,0.082,,,,29.0,10.8,64.0,24.0,
Omaha,2003,4.2,3.4,,,0.09,0.074,19.0,4.0,0.0,30.0,11.0,132.0,43.0,
Philadelphia,2003,5.4,3.9,63.0,25.0,0.13,0.095,164.0,52.0,8.0,40.0,15.6,74.0,31.0,
Phoenix,2003,7.3,5.5,,34.0,0.12,0.087,13.0,7.0,2.0,27.0,11.3,197.0,62.0,
Portland,2003,7.1,4.5,,,0.1,0.075,,,,27.0,9.1,31.0,17.0,
Sacramento,2003,4.7,3.8,67.0,18.0,0.14,0.106,10.0,4.0,1.0,43.0,12.2,70.0,28.0,
San Antonio,2003,4.6,2.7,34.0,17.0,0.11,0.086,,,,,,41.0,20.0,
San Diego,2003,12.5,7.2,96.0,21.0,0.12,0.089,22.0,10.0,4.0,47.0,15.5,124.0,52.0,
San Francisco,2003,5.1,4.3,60.0,18.0,0.12,0.084,29.0,7.0,2.0,34.0,10.2,48.0,21.0,
San Jose,2003,5.3,3.7,66.0,21.0,0.11,0.085,,,,37.0,11.7,55.0,24.0,
San Juan,2003,9.3,4.2,,,,,56.0,9.0,3.0,,,89.0,37.0,
Seattle,2003,10.1,5.5,,18.0,0.1,0.08,37.0,9.0,2.0,40.0,10.7,56.0,22.0,
Tucson,2003,9.6,2.7,54.0,17.0,0.09,0.078,13.0,4.0,1.0,14.0,6.5,129.0,39.0,
Tulsa,2003,4.2,2.5,46.0,10.0,0.11,0.086,79.0,39.0,6.0,27.0,11.8,69.0,27.0,
Virginia Beach,2003,4.6,2.9,58.0,16.0,0.1,0.083,82.0,17.0,4.0,33.0,12.8,35.0,17.0,
District of Columbia,2003,8.3,4.0,70.0,26.0,0.14,0.097,103.0,35.0,8.0,47.0,14.3,38.0,20.0,
Wichita,2003,4.5,3.1,40.0,10.0,0.1,0.08,,,,26.0,11.2,57.0,26.0,
National Means,2003,6.282222222222223,3.6488888888888886,65.06060606060606,19.076923076923077,0.11727272727272725,0.08999999999999998,68.25714285714285,22.65714285714286,3.8857142857142857,36.04761904761905,13.530952380952376,103.4186046511628,32.395348837209305,
National First Quartile,2003,4.525,2.8249999999999997,55.0,16.0,0.1,0.082,27.0,9.0,2.0,29.0,10.8,56.0,24.75,
National Median,2003,5.3,3.4,63.0,18.0,0.11863636363636362,0.089,60.0,20.0,3.0,34.5,13.165476190476188,70.0,30.0,
National Third Quartile,2003,7.1499999999999995,4.05,72.25,21.0,0.125,0.096,87.25,32.25,6.0,43.0,16.0,101.25,37.75,
